Titulo,Adress,City,ZIP/Postal Code,State/Province,Phone
DROGARIAS ALEXANDRE,Estrada RODOVIA GOVERNADOR MARIO COVAS - BR 101 KM 295 - LOTE AR-B 1998 CENTRO,ITABORAI,24800000,RJ  ,"21,27344308,"
FARMACEUTICA DO MEIER,Rua PEDRO DE CARVALHO 228 MEIER,RIO DE JANEIRO,20725232,RJ  ,"21,22291000,001"
ASSOCIADAS,Avenida BORGES DE MEDEIROS 935 CENTRO HISTORICO,PORTO ALEGRE,90020021,RS  ,"51,32244677,"
ENTREFARMA,Rua PEDRO VENANCIO DE ANDRADE 854 CENTRO,DELFINOPOLIS,37910000,MG  ,"35,35217309,"
DROGARIA RCFARMA,Rua PEDRO DE TOLEDO 432 VILA NOVA CHRISTONI,OURINHOS,19911000,SP  ,"14,1433224139,"
LIGA FARMA,Rua MATO GROSSO 1061 CENTRO,DIVINOPOLIS,35500027,MG  ,"37,32129743,"
DROGARIA NUNES,Quadra C 12 ?REA ESPECIAL PARA CINEMA 1 LOJA 02 ED PARANO? CENTER 2 TAGUATINGA CENTRO,TAGUATINGA,72010120,DF  ,"61,30373774,"
RONIFARMA,Avenida PARANA 3792 ZONA I,UMUARAMA,87501030,PR  ,"44,36249003,"
AUGEFARMA,Rua ROSALINA GOMES 116 CENTRO,CAPELA DO ALTO ALEGRE,44645000,BA  ,"75,36902226,"
DROGARIA OLIMPICA 2,Avenida MONTE CARLOS COM AV W5 0 JARDIM OLIMPICO,APARECIDA DE GOIANIA,74922060,GO  ,"62,32829661,"
SILVEIRAS DROGARIAS,Rua BARAO DO AMAZONAS 146 CENTRO,CAMPOS DOS GOYTACAZES,28010030,RJ  ,"22,27316665,22"
FARMACIA SAUDE E VIDA,Rodovia DO A? UCAR 292 CENTRO,CAMPOS DOS GOYTACAZES,28143000,RJ  ,"22,272166335,001"
MULTIDROGAS,Avenida AV.DOS BANDEIRANTES 1798 CENTRO,OUROESTE,15685000,SP  ,"17,38431574,17"
REDE MASTERFARMA,Rua PROFESSOR SIMAO HESS 280 VILA DO SALTO,LUIZ ALVES,89115000,SC  ,"47,33770007,"
DROGARIA BOM PASTOR,Avenida GABRIEL MULLER 835 CENTRO,JUINA,78320000,MT  ,"66,35663712,"
VIDA FARMACIAS,Rua EUGENIO BERGER 454 SCHARLAU,SAO LEOPOLDO,93125480,RS  ,"51,35684451,"
FARMAESTRA AMANDA,Avenida SANTANA 659 JARDIM AMANDA I,HORTOLANDIA,13188000,SP  ,"19,35153537,"
IT? FARMA CENTRO,Avenida TRANCREDO NEVES 1257 CENTRO,ITA,89760000,SC  ,"49,34581863,"
FARMACIA FARMALIDER,Avenida PARANA 1165 CENTRO,LOANDA,87900000,PR  ,"44,34251139,"
DROGARIA MINAS SUL,Avenida GETULIO VARGAS 185 CENTRO,CHAPADA GAUCHA,39314000,MG  ,"38,36341516,"
REDE SOMA,Avenida ALVARO MOREIRA DA SI 684 CENTRO,DURANDE,36974000,MG  ,"33,33421491,"
AUGEFARMA,Rua JOAQUIM CRISOSTOMO 1161 CENTRO,FORTIM,62815000,CE  ,"88,34131733,"
UNO FARMA,Rodovia AMARAL PEIXOTO 4863 CENTRO,RIO DAS OSTRAS,28890000,RJ  ,"22,27721240,"
MARINO FARMA,Avenida JOAO PESSOA 136 CENTRO,SAO ROQUE,18130290,SP  ,"11,47128717,11"
FARMACIA POPULAR DO JUNINHO,Rua SANTA MARIA 209 VILA BRASIL,SAO JOAO DA BOA VISTA,13875029,SP  ,"19,36314114,"
,Praça RUA PRESIDENTE VARGAS 35 CENTRO,CARANDAI,36280000,MG  ,"33,32713016,"
FARMACIA S?O VICENTE PALLOTTI,Avenida PRESIDENTE KENNEDY 810 CENTRO,PALOTINA,85950000,PR  ,"44,36493735,"
MANV,Avenida HERMINIO MACHADO 439 JARDIM ALGARVE,ALVORADA,94859080,RS  ,"51,31011387,"
AUGEFARMA,Avenida BRITO 203 CENTRO,BONINAL,46740000,BA  ,"75,33302023,"
DROGARIA SAO MIGUEL,Avenida VISCONDE DO RIO BRAN 487 CENTRO,JARDINOPOLIS,14680000,SP  ,"16,36639098,"
REDE MASTERFARMA,Avenida PONTA GROSSA 960 CENTRO,MAUA DA SERRA,86828000,PR  ,"43,34641505,"
DROGARIA BOM JESUS,Avenida MINISTRO JOAO ALBERT 964 CENTRO,BARRA DO GARCAS,78600000,MT  ,"66,34017662,"
FARMACIA AMERICANA,Praça SANTA CRUZ 3 CENTRO,IBIA,38950000,MG  ,"35,32216250,33"
FARMACIA AMERICANA,Praça SO SEBASTIAO 40 CENTRO,SAO GOTARDO,38800000,MG  ,"35,32216250,26"
FARMATOTAL,Avenida DOM PEDRO II 752 NOVA RUSSIA,PONTA GROSSA,84053000,PR  ,"42,30253707,"
DROGARIA MAIS SA?DE,Conjunto RUA GUIMAR?ES ROSA N 134 CENTRO,SERRANOS,37452000,MG  ,"35,33221255,"
AUGEFARMA,Avenida MILTON CARVALHO 414 CENTRO,IPU,62250000,CE  ,"88,36831520,"
DROGA REDE,Avenida CORONEL MOACIR J. SI 547 CENTRO,JAIBA,39508000,MG  ,"37,30711095,"
REDE SOMA,Rua ANTONIO RUSSO PALARD 56 CENTRO,SANTO ANTONIO DO GRAMA,35388000,MG  ,"31,38725482,"
FARMACIA FORTE FARMA,Avenida BANDEIRANTES 813 CENTRO,BANDEIRANTES,86360000,PR  ,"43,35426298,"
FARM?CIA N. SRA DAS GRA?AS,1¼ Rua RUA DUQUE DE CAXIAS 533 CENTRO,VIRMOND,85390000,PR  ,"42,36181113,"
DISK FARMA FORTE,Rua DAS ANDORINHAS 191 DISTRITO INDUSTRIAL,VINHEDO,13280000,SP  ,"19,38763778,"
CASA DO GENERICO,Avenida SANTOS DUMONT 1 CENTRO,VALENCA DO PIAUI,64300000,PI  ,"86,32215792,"
CASA DO GENERICO,Avenida 15 DE NOVEMBRO SN 1 CENTRO,NOVO ORIENTE DO PIAUI,64530000,PI  ,"86,32215792,"
AUGEFARMA,Rua RUA JUSTINO GOMES DA 2 POVOADO SANTA LUZIA,CHA GRANDE,55636000,PE  ,"83,30435181,"
BIODROGAS,Avenida DOUTOR MARCOS DE PAULA RAFAEL 14 NUCLEO HABITACIONAL MARY DOTA,BAURU,17026000,SP  ,"14,32398184,"
DROGARIA AVENIDA,Avenida AVENIDA LUIZ TANURE 671 CENTRO,MEDINA,39620000,MG  ,"33,37531251,"
FARM?CIA BOTICA,Avenida AVENIDA BRASIL 983 CENTRO,CAICARA,98440000,RS  ,"55,37381202,55"
NOVAFARMA,4¼ Rua RUA TITI BECCON 77 FLORIDA,SANTIAGO,97700000,RS  ,"55,32516269,"
DROGARIA CENTRAL,1¼ Rua CORONEL ANTONIO BRUN 188 CENTRO,ROSARIO OESTE,78470000,MT  ,"65,33561424,"
REDE SOMA,Rua BELO HORIZONTE 851 CENTRO,ARAXA,38183146,MG  ,"34,36611611,"
REDE MASTERFARMA,9¼ Rua RUA BRASILIA 32 NA OES,INDAIAL,89130000,SC  ,"47,4733823015,"
DROGARIA DO DIVINO,Avenida MOISES DORNELES MONT 941 CENTRO,ALTO BOA VISTA,78665000,MT  ,"66,35391239,"
AUGEFARMA,Rua ABELARDO 134 GRACAS,RECIFE,52050310,PE  ,"81,34278444,"
REDE MASTERFARMA,Rua RUA JOSE SCHELBAUER  2900 FAZENDINHA DE RIO NEGRO,RIO NEGRO,83880000,PR  ,"47,36437689,"
MULTIDROGAS,9¼ Rua RUA DUQUE DE CAXIAS 4066 CENTRO,APARECIDA DO TABOADO,79570000,MS  ,"67,35651517,67"
FARMAIS,Avenida MINISTRO JOSE BRITO 498 CENTRO,BARRA DO GARCAS,78600000,MT  ,"66,34071000,"
MODERNA DRUGSTORE,Avenida JACOB DORNELAS NETO 606 CENTRO,SAO JOAO DO MANHUACU,36918000,MG  ,"33,33771264,33"
FARMAVIP,Rua S?O VICENTE DE PAULA 511 CENTRO,RIO DAS PEDRAS,13390000,SP  ,"19,34931738,"
FARMAVIP,Avenida LARANJAL PAULISTA 1900 CAMPESTRE,PIRACICABA,13401630,SP  ,"19,34263992,"
UNIFARMA,Rua DEPUTADO HESIQUIO FE 79 CENTRO,SAO MIGUEL,59920000,RN  ,"84,33532505,1"
FARMA PRO ART,Rua JULIA MARTINS DOMING 1026 VILA DOMINGUES,VOTORANTIM,18116545,SP  ,"15,32432038,"
FARMA PRO ART,Rua JULIA MARTINS DOMINGUES 1026 VILA DOMINGUES,VOTORANTIM,18116545,SP  ,"15,32432038,15"
FARMAVILA,Avenida EMYGDIO MAIA SANTOS 509 CENTRO,SAO FIDELIS,28400000,RJ  ,"22,27583609,22"
DROGA VIDA,Avenida JOSE TEODORO DE SOUZA 879 CENTRO,CAMPOS NOVOS PAULISTA,19960000,SP  ,"14,34761243,"
REDE MINAS FARMA,Rua GUANABARA 447 CENTRO,BOTELHOS,37720000,MG  ,"35,37411113,"
DROGARIA CIDADE NOVA,Avenida RUBENS RANGEL 1122 PRAIA DOS CA OES,MARATAIZES,29345000,ES  ,"28,35324847,"
FARMACIA CAMPO VERDE,Rua NEY BRAGA 654 JARDIM IZABEL,CAMPO MOURAO,87309130,PR  ,"44,30176110,"
VIDA FARMACIAS,7¼ Rua RUA HORIZONTINA 1372 ROCINHA,TRES DE MAIO,98910000,RS  ,"55,35351409,"
FARM?CIA UNIVIDA,Avenida DONA DITA 367 SETOR CENTRAL,SANTA TEREZINHA DE GOIAS,76500000,GO  ,"62,33396359,"
FARMAIS,Avenida JULIO DE CASTILHO 3366 JARDIM IMA,CAMPO GRANDE,79102000,MS  ,"67,33627404,"
FARMACIA UNISULFARMA,2¼ Rua MARECHAL CASTELO BRA 3246 CENTRO,SCHROEDER,89275000,SC  ,"47,33740472,01"
FARMACIA DO POVO,Avenida AVENIDA ALMIRANTE SALDANHA 1048 DISTRITO DE SAO SEBASTIAO DO RIO CLARO,JUSSARA,76270000,GO  ,"62,33733401,"
AUGEFARMA,Rua MAJOR IDELFONSO 166 CENTRO,LAVRAS DA MANGABEIRA,63300000,CE  ,"88,35362561,"
FARMACIA BOM JESUS,Avenida NATALINO JOAO BRESCANSIN 300 CENTRO,SORRISO,78890000,MT  ,",66354414550,"
FARMACIA DESCONTAO POPULAR,Rua MARECHAL DEODORO 33 CENTRO,LAGES,88501000,SC  ,"49,32221502,"
FARMACIA DESCONTAO POPULAR,Avenida LUIZ DE CAM?ES 320 CORAL,LAGES,88523000,SC  ,"49,32244764,"
FARM?CIA BOM JESUS,Rua ALZIRA DE ABREU 615 CENTRO,CANTAGALO,85160000,PR  ,"42,36361015,42"
AGAFARMA,Rua DUQUE DE CAXIAS 445 POLIGONO  D   DISTRITO ,ERECHIM,99700000,RS  ,"54,21065583,54"
FARMATEM ITAPEVA,Rua BENJAMIN CONSTANT 215 JARDIM FERRARI,ITAPEVA,18405000,SP  ,"15,1535221909,"
DROGARIA AN?POLIS,Avenida DIVINO PAI ETERNO 775 VILA GOIS,ANAPOLIS,75120370,GO  ,"62,30981580,"
FARMACIA MEDFARMA,Rua DA PALMEIRA 1070 CENTRO,PANAMBI,98280000,RS  ,"55,33750922,"
REDEMAIS,Rua FELICIANO PEDROSA 1335 CENTRO,BELEM,58255000,PB  ,"83,32352448,83"
FARMACIA COOPAGRO,Rua RODRIGUES ALVES 1774 JARDIM COOPAGRO,TOLEDO,85903500,PR  ,"45,30545554,"
DROGARIA UNIFARMA,Avenida SAO PAULO 428 JARDIM CARAIPE,TEIXEIRA DE FREITAS,45998000,BA  ,"73,32917022,"
DROGARIA BANDEIRANTE,Avenida GUANABARA 203 CENTRO,BARROSO,36212000,MG  ,"32,33512920,"
DROGARIA DO MARQUINHOS - LOJA LADEIRA,Rua DOUTOR JORGE TIBIRIC 643 CENTRO,MOGI MIRIM,13800151,SP  ,"19,38053462,"
REDE MINAS FARMA,Rua JOSE JOAQUIM GOUVEIA 63 CENTRO,CAREACU,37556000,MG  ,"35,34521593,"
AUGEFARMA,Avenida JOAQUIM DE PAULA 285 CENTRO,ALTO SANTO,62970000,CE  ,"88,34292446,"
STYLOFARMA,Rua DOS CACADORES 3722 VELHA,BLUMENAU,89040003,SC  ,"47,33302407,"
DROGATEM,Avenida ARAGUAIA 1199 1199 SERRINHA,AGUA BOA,78635000,MT  ,"66,34682009,"
FARMACIA FORTE FARMA,Rua JOSE ALVES DA COSTA 835 CENTRO,SAO JOAO DO IVAI,86930000,PR  ,"43,34772876,"
DROGARIA MANSOUR 2,Rua ADELIA MIGUEL ABRAHA 176 ALTO UMUARAMA,UBERLANDIA,38405381,MG  ,"34,32311221,"
,Avenida FRANCISCO SALLES 279 CENTRO,POCOS DE CALDAS,37701013,MG  ,"35,37223272,5"
,Rua JARDIM AMARYLLIS 110 JARDIM AMARYLLIS,POCOS DE CALDAS,37705220,MG  ,"35,32661781,"
,Avenida EDUARDO LUCIANO MARRAS 290 CONJ HABITACIONAL PEDRO AFONSO JUNQUEIRA,POCOS DE CALDAS,37706215,MG  ,"35,32661781,"
AUGEFARMA,Rua NEWTON JOAZEIRO 315 CENTRO,IBIPITANGA,46540000,BA  ,"77,36742060,"
FARMACIA DO MARQUINHO,Rua NOGUEIRA DO AMARAL 1200 CENTRO,LARANJEIRAS DO SUL,85301140,PR  ,"42,36351989,"
DROGARIA S?O RAFAEL,Avenida GIOCONDO GEOVANE GAZOTTO 250 CENTRO,SANTA CLARA D OESTE,15785000,SP  ,"17,36631120,"
FARMA GONGORA,Rua EURIPEDES M. RODRIGUES 725 CENTRO,BANDEIRANTES,86360000,PR  ,"43,35425900,"
FARMACIA TABAJARA,Avenida INGLATERRA 229 IGAPO,LONDRINA,86046000,PR  ,"43,33415050,"
AUGEFARMA,Avenida 1 546 TAI OCA DE DENTRO,NOSSA SENHORA DO SOCORRO,49160000,SE  ,"79,31794725,"
NOVA FARMA,Avenida MANOEL RODRIGUES OLI 270 CENTRO,BODOQUENA,79390000,MS  ,"67,32682339,"
TCHE,Avenida JULIO DE CASTILHOS 705 CENTRO,SAO FRANCISCO DE PAULA,95400000,RS  ,"54,32441919,"
DROGARIA MENOR PRE?O,Rua JOAO MEIRELLES 966 ABRAAO,FLORIANOPOLIS,88085201,SC  ,"48,32496640,"
DROGARIA ALTO DO CAMPESTRE,Rua DAS FIGUEIRAS 2241 CAMPESTRE,SANTO ANDRE,9080371,SP  ,"11,26693041,000"
DROGARIA S?O F?LIX,Avenida AVENIDA DOM PEDRO CA 1635 POSTO DA MATA,SAO FELIX DO ARAGUAIA,78670000,MT  ,"66,35221912,"
DROGA NORTE,Quadra 406 NORTE AVENIDA NS 0 PLANO DIRETOR NORTE,PALMAS,77006466,TO  ,"63,32242496,"
VIDA FARMACIAS,Avenida LUIZ THOMAZ ZEBALLOS 1020 BELA VISTA DO OESTE,GUAIRA,85980000,PR  ,"44,36423806,"
POPULAR,Avenida JULIO MARQUES LUZ 2019 JATIUCA,MACEIO,57035700,AL  ,"27,21239990,"
DROGARIA VIDA NOVA,Avenida AV CEL TUBERTINO RIO 699 ARTULANDIA,JARAGUA,76330000,GO  ,"62,33262545,"
AUGEFARMA,Avenida OTONIEL  DOREA 347 CENTRO,ITABAIANA,49500000,SE  ,"79,34311024,"
DROGARIAS CAMPEA,Rua PADRE JOAO ALVARES 3 CENTRO,ITAQUAQUECETUBA,8570050,SP  ,"11,37363329,3329"
DROGARIAS CAMPEA,Rua SEBASTIAO FERREIRA DOS SANTOS 217 CENTRO,ITAQUAQUECETUBA,8570060,SP  ,"11,37363300,3326"
,Avenida ACRE 1262 CENTRO,SANTA VITORIA,38320000,MG  ,"33,32713016,"
Grupo Marrichi,Avenida GENERAL OSORIO 128 TEJUCO,SAO JOAO DEL REI,36300170,MG  ,"32,33734786,"
ASFAR,Rua IGUACU 572 CENTRO,NOVA ESPERANCA DO SUDOESTE,85635000,PR  ,"46,35461387,"
FARMATOTAL,Avenida CAMPO GRANDE 661 CENTRO,NAVIRAI,79950000,MS  ,"06,34610524,"
DROGARIA BELLA,Avenida INOCENCIO PIRES DE O 209 CENTRO CAUCAIA DO ALTO,COTIA,6725105,SP  ,"11,46111293,"
MULTMAIS,Avenida ANTONIO CARLOS MAGALHES 1034 ITAIGARA,SALVADOR,41825906,BA  ,"71,32488877,"
REDE MASTERFARMA,Rua FERNANDO FERRARI 1291 CENTRO,ITAPEJARA D OESTE,85580000,PR  ,"48,36589870,"
DROGALIZ,Avenida FRANCISCO VIEIRA MARTINS 1058 PALMEIRAS,PONTE NOVA,35430225,MG  ,"31,38171475,"
FARMACIA SANTANA,Via DE LIGACAO 0 POLO PETROQUIMICO,CAMACARI,42810260,BA  ,",7132063907,"
FARMACIA SANTANA,Avenida CENTENARIO SHOPP BARRA 2992 BARRA,SALVADOR,40140902,BA  ,"71,32678974,"
FARMACIA SANTANA,Rua VISCONDE DE SAO LOURENCO 42 FORTE,SALVADOR,40080000,BA  ,"71,33289774,"
FARMACIA SANTANA,Avenida SETE DE SETEMBRO 251 DOIS DE JULHO,SALVADOR,40060000,BA  ,"71,33246962,"
FARMACIA SANTANA,"Rua ARGENTINA, DA 1 COMERCIO",SALVADOR,40015130,BA  ,"71,33194200,"
FARMACIA SANTANA,Avenida SETE DE SETEMBRO 140 DOIS DE JULHO,SALVADOR,40060002,BA  ,"71,33289770,"
FARMACIA SANTANA,Rua JOAO DAS BOTAS 268 CANELA,SALVADOR,40110160,BA  ,"71,32379570,"
FARMACIA SANTANA,"Rua PACIENCIA, DA 239 RIO VERMELHO",SALVADOR,41950010,BA  ,"71,33304870,"
FARMACIA SANTANA,Rua BARAO DE COTEGIPE 63 CALCADA,SALVADOR,40410000,BA  ,"71,32074170,"
FARMACIA SANTANA,Avenida JOANA ANGELICA 126 NAZARE,SALVADOR,40050000,BA  ,"71,33194202,"
FARMACIA SANTANA,Rua LIMA DE SILVA 351 LIBERDADE,SALVADOR,40375390,BA  ,"71,33194208,"
FARMACIA SANTANA,Rua ARTUR DE AZEVEDO MACHADO 521 COSTA AZUL,SALVADOR,41760000,BA  ,"71,32738840,"
FARMACIA SANTANA,Avenida DOM JOAO VI 486 BROTAS,SALVADOR,40285000,BA  ,"71,34538361,"
FARMACIA SANTANA,Avenida JOANA ANGELICA 8 NAZARE,SALVADOR,40050000,BA  ,"71,33289772,"
FARMACIA SANTANA,Avenida MANOEL DIAS DA SILVA 1974 PITUBA,SALVADOR,41830001,BA  ,"71,32058671,"
FARMACIA SANTANA,Praça AZEVEDO FERNANDES 0 BARRA,SALVADOR,40130180,BA  ,"71,32678970,"
FARMACIA SANTANA,Rua PROFESSOR SABINO SILVA 650 JARDIM APIPEMA,SALVADOR,40155250,BA  ,"71,32379572,"
FARMACIA SANTANA,Rua MIGUEL CALMON 2 COMERCIO,SALVADOR,40015010,BA  ,"71,32063905,"
FARMACIA SANTANA,Praça BARBALHO 70 BARBALHO,SALVADOR,40301000,BA  ,"71,32439931,"
FARMACIA SANTANA,Rua SAO CAETANO 315 SAO CAETANO,SALVADOR,40389130,BA  ,"71,32598270,"
FARMACIA SANTANA,Rua FREDERICO COSTA 55 BROTAS,SALVADOR,40255350,BA  ,"71,32558070,"
FARMACIA SANTANA,Rua ARTHUR DE AZEVEDO MACHADO 1443 COSTA AZUL,SALVADOR,41760000,BA  ,"71,32063905,"
FARMACIA SANTANA,Rua SETE DE SETEMBRO 20 ITAPUA,SALVADOR,41620610,BA  ,"71,32858570,"
FARMACIA SANTANA,Rua CONDE DE PORTO ALEGRE 208 IAPI,SALVADOR,40330200,BA  ,"71,32568470,"
FARMACIA SANTANA,Rua DA GRACA 22 GRACA,SALVADOR,40080410,BA  ,"71,33381650,"
FARMACIA SANTANA,Avenida ANTONIO CARLOS MAGALHAES 846 ITAIGARA,SALVADOR,41825900,BA  ,"71,32063914,"
FARMACIA SANTANA,Avenida ANTONIO CARLOS MAGALHAES 0 ESTACAO RODOVIARIA,SALVADOR,41840000,BA  ,"71,34607875,"
FARMACIA SANTANA,Rua GENEBALDO FIGUEREDO 3 ITAPUA,SALVADOR,41610180,BA  ,"71,32858575,"
FARMACIA SANTANA,Rua LIMA E SILVA 276 LIBERDADE,SALVADOR,40375016,BA  ,"71,32063914,"
FARMACIA SANTANA,Avenida PAULO VI 1890 PITUBA,SALVADOR,41810001,BA  ,"71,34538370,"
FARMACIA SANTANA,Avenida ANTONIO CARLOS MAGALHAES 148 CAMINHO DAS ARVORES,SALVADOR,41820908,BA  ,"71,34607870,"
FARMACIA SANTANA,"Rua GAIVOTAS, DAS 196 IMBUI",SALVADOR,41720070,BA  ,"71,32066870,"
FARMACIA SANTANA,Avenida JOANA ANGELICA 874 CAMPO DA POLVORA,SALVADOR,40051000,BA  ,"71,33194210,"
FARMACIA SANTANA,Avenida PAULO VI 389 PITUBA,SALVADOR,41810000,BA  ,"71,32058672,"
FARMACIA SANTANA,Avenida SETE DE SETEMBRO 491 RELOGIO SAO PEDRO,SALVADOR,40060010,BA  ,"71,33246964,"
FARMACIA SANTANA,Rua MARQUES DE CARAVELAS 506 BARRA,SALVADOR,40140240,BA  ,"71,32678972,"
FARMACIA SANTANA,Avenida ANTONIO CARLOS MAGALHAES 1034 ITAIGARA,SALVADOR,41825906,BA  ,"71,34538364,"
FARMACIA SANTANA,Rua SALDANHA MARINHO 213 CAIXA DAGUA,SALVADOR,40323010,BA  ,"71,32568472,"
FARMACIA SANTANA,Avenida EUCLIDES DA CUNHA 3 GRACA,SALVADOR,40150120,BA  ,"71,33888280,"
FARMACIA SANTANA,Rua BAHIA 16 TANCREDO NEVES,SALVADOR,41210000,BA  ,"71,32066872,"
FARMACIA SANTANA,Avenida MANOEL DIAS DA SILVA 1211 PITUBA,SALVADOR,41830000,BA  ,"71,32058674,"
FARMACIA SANTANA,Avenida PRAIA DE ITAPOAN 17 ITINGA,LAURO DE FREITAS,42700000,BA  ,"71,33699870,"
FARMACIA SANTANA,Avenida SETE DE SETEMBRO 624 CANELA,SALVADOR,40110000,BA  ,"71,33289776,"
FARMACIA SANTANA,Avenida AMARALINA 35 AMARALINA,SALVADOR,41900020,BA  ,"71,32058676,"
FARMACIA SANTANA,Avenida ANTONIO CARLOS MAGALHAES 0 PITUBA,SALVADOR,41840000,BA  ,"71,34538366,"
FARMACIA SANTANA,Avenida ANTONIO CARLOS MAGALHAES 656 ITAIGARA,SALVADOR,41825905,BA  ,"71,34538368,"
FARMACIA SANTANA,Avenida SETE DE SETEMBRO 86 DOIS DE JULHO,SALVADOR,40060000,BA  ,"71,3206192411,"
FARMACIA SANTANA,Rua SILVEIRA MARTINS 435 CABULA,SALVADOR,41150000,BA  ,"71,32578770,"
FARMACIA SANTANA,Avenida DOM JOAO VI 936 BROTAS,SALVADOR,40285000,BA  ,"71,32767570,"
FARMACIA SANTANA,Avenida EUCLIDES DA CUNHA 83 GRACA,SALVADOR,40150120,BA  ,"71,33888280,"
FARMACIA SANTANA,Avenida SETE DE SETEMBRO 285 DOIS DE JULHO,SALVADOR,40060000,BA  ,"71,33289778,"
FARMACIA SANTANA,Rua BANDEIRANTES 118 MATATU,SALVADOR,40260000,BA  ,"71,32558072,"
FARMACIA SANTANA,Rua JUNQUEIRA AYRES 8 BARRIS,SALVADOR,40070901,BA  ,"71,33289700,"
FARMACIA SANTANA,Avenida TIRADENTES 19 LARGO DE ROMA,SALVADOR,40440001,BA  ,"71,32074172,"
FARMACIA SANTANA,Avenida REITOR MIGUEL CALMON 381 CANELA,SALVADOR,40110100,BA  ,"71,32379579,"
FARMACIA SANTANA,Rua PORTAO DA PEIDADE CENTER LAPA 155 BARRIS,SALVADOR,40070900,BA  ,"71,33289704,"
FARMACIA SANTANA,Avenida ADEMAR DE BARROS 448 BARRIS,SALVADOR,40070901,BA  ,"71,32032400,"
FARMACIA SANTANA,Rua JUNQUEIRA AYRES 8 BARRIS,SALVADOR,40070901,BA  ,"71,33289702,"
FARMACIA SANTANA,Rua OSVALDO GORDILHO 47 SAO CRISTOVAO,SALVADOR,41510010,BA  ,
FARMACIA SANTANA,Rua ELIAS NAZARE 3 CALCADA,SALVADOR,40411000,BA  ,
FARMACIA SANTANA,Avenida TRANCEDO NEVES 148 CAMINHO DAS ARVORES,SALVADOR,41820908,BA  ,"71,32063914,"
FARMACIA SANTANA,Avenida TANCREDO NEVES 2915 CAMINHO DAS ARVORES,SALVADOR,41820021,BA  ,",7132063914,"
FARMACIA SANTANA,Avenida SAO MARCOS 32 SAO MARCOS,SALVADOR,41253196,BA  ,",7132069313,"
FARMACIA SANTANA,Estrada DO COQUEIRO GRANDE S/N CAJAZEIRAS,SALVADOR,41342315,BA  ,
FARMACIA SANTANA,Praça DESEMBARGADOR MONTE NEGRO 1 CENTRO,CAMACARI,42800020,BA  ,",7132063900,"
FARMACIA SANTANA,Estrada DE CAMPINAS 460 SAO CAETANO,SALVADOR,40391161,BA  ,
FARMACIA SANTANA,Avenida GETULIO VARGAS 1543 CAPUCHINHOS,FEIRA DE SANTANA,44050000,BA  ,",7132063900,"
FARMACIA SANTANA,Rua MAR DEL PLATA 0 PRAIA DO FLAMENGO,SALVADOR,41603200,BA  ,",7132063900,"
